📁/📄 Name,What it is?,Where it is? (Folder),➡️ Click to Open in Drive
My Drive,📁 Folder,---,Open My Drive
Audio Transcription ,📁 Folder,My Drive,Open Folder
❗️ Error reading items here,Error,Audio Transcription ,N/A
Cortona Dropzone,📁 Folder,My Drive,Open Folder
Google AI Studio,📁 Folder,Cortona Dropzone,Open Folder
❗️ Error reading items here,Error,Google AI Studio,N/A
Macbook March 2025,📁 Folder,Cortona Dropzone,Open Folder
Wireless Diagnostics ,📁 Folder,Macbook March 2025,Open Folder
"WiFiDiagnostics_2025-02-24_08.14.34.804_macOS_Mac14,2_24D70",📁 Folder,Wireless Diagnostics ,Open Folder
CoreCapture,📁 Folder,"WiFiDiagnostics_2025-02-24_08.14.34.804_macOS_Mac14,2_24D70",Open Folder
WiFi,📁 Folder,CoreCapture,Open Folder
❗️ Error reading items here,Error,"WiFiDiagnostics_2025-02-24_08.14.34.804_macOS_Mac14,2_24D70",N/A
"WiFiDiagnostics_2025-02-24_08.14.34.804_macOS_Mac14,2_24D70 2",📁 Folder,Wireless Diagnostics ,Open Folder
CoreCapture,📁 Folder,"WiFiDiagnostics_2025-02-24_08.14.34.804_macOS_Mac14,2_24D70 2",Open Folder
WiFi,📁 Folder,CoreCapture,Open Folder
❗️ Error reading items here,Error,"WiFiDiagnostics_2025-02-24_08.14.34.804_macOS_Mac14,2_24D70 2",N/A
"WiFiDiagnostics_2025-02-24_09.18.38.519_macOS_Mac14,2_24D70",📁 Folder,Wireless Diagnostics ,Open Folder
CoreCapture,📁 Folder,"WiFiDiagnostics_2025-02-24_09.18.38.519_macOS_Mac14,2_24D70",Open Folder
WiFi,📁 Folder,CoreCapture,Open Folder
❗️ Error reading items here,Error,"WiFiDiagnostics_2025-02-24_09.18.38.519_macOS_Mac14,2_24D70",N/A
aud,📁 Folder,Wireless Diagnostics ,Open Folder
uarp,📁 Folder,aud,Open Folder
updaterservice,📁 Folder,uarp,Open Folder
usbpd,📁 Folder,updaterservice,Open Folder
A2363,📁 Folder,usbpd,Open Folder
FTL246209TR1T20AD,📁 Folder,A2363,Open Folder
❗️ Error reading items here,Error,FTL246209TR1T20AD,N/A
❗️ Error reading items here,Error,Wireless Diagnostics ,N/A
Approvals 22525 ,📁 Folder,Macbook March 2025,Open Folder
❗️ Error reading items here,Error,Approvals 22525 ,N/A
Oracle NetSuite Corporate Logos March 2024,📁 Folder,Macbook March 2025,Open Folder
Oracle-NetSuite_Logo_Half Version,📁 Folder,Oracle NetSuite Corporate Logos March 2024,Open Folder
AI,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,AI,N/A
PNG,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,PNG,N/A
EPS,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,EPS,N/A
PDF,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,PDF,N/A
❗️ Error reading items here,Error,Oracle-NetSuite_Logo_Half Version,N/A
Text Versions,📁 Folder,Oracle NetSuite Corporate Logos March 2024,Open Folder
EPS,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,EPS,N/A
AI,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,AI,N/A
PNG,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,PNG,N/A
PDF,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,PDF,N/A
❗️ Error reading items here,Error,Text Versions,N/A
❗️ Error reading items here,Error,Oracle NetSuite Corporate Logos March 2024,N/A
R-Cubed biz dev planning 2025,📁 Folder,Macbook March 2025,Open Folder
❗️ Error reading items here,Error,R-Cubed biz dev planning 2025,N/A
Oracle-NetSuite_Logo_Half Version,📁 Folder,Macbook March 2025,Open Folder
EPS,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,EPS,N/A
PDF,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,PDF,N/A
AI,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,AI,N/A
PNG,📁 Folder,Oracle-NetSuite_Logo_Half Version,Open Folder
❗️ Error reading items here,Error,PNG,N/A
❗️ Error reading items here,Error,Oracle-NetSuite_Logo_Half Version,N/A
Socials - First Post - Job Posting - Final Approval,📁 Folder,Macbook March 2025,Open Folder
❗️ Error reading items here,Error,Socials - First Post - Job Posting - Final Approval,N/A
Web scraping tooltip text_files,📁 Folder,Macbook March 2025,Open Folder
❗️ Error reading items here,Error,Web scraping tooltip text_files,N/A
Text Versions,📁 Folder,Macbook March 2025,Open Folder
AI,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,AI,N/A
EPS,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,EPS,N/A
PNG,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,PNG,N/A
PDF,📁 Folder,Text Versions,Open Folder
❗️ Error reading items here,Error,PDF,N/A
❗️ Error reading items here,Error,Text Versions,N/A
❗️ Error reading items here,Error,Macbook March 2025,N/A
Rewind,📁 Folder,Cortona Dropzone,Open Folder
2025-02-23 23:53:44,📁 Folder,Rewind,Open Folder
2025-02-23 23:11:42,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 23:11:42,N/A
2025-02-23 23:04:05,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 23:04:05,N/A
2025-02-23 22:35:37,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 22:35:37,N/A
2025-02-23 23:13:10,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 23:13:10,N/A
2025-02-23 22:34:13,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 22:34:13,N/A
2025-02-23 22:29:23,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 22:29:23,N/A
2025-02-23 21:29:30,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 21:29:30,N/A
2025-02-23 21:49:17,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 21:49:17,N/A
2025-02-23 3:26:09,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 3:26:09,N/A
2025-02-23 21:48:20,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 21:48:20,N/A
2025-02-23 22:02:44,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 22:02:44,N/A
2025-02-23 21:18:31,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 21:18:31,N/A
2025-02-23 22:02:52,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 22:02:52,N/A
2025-02-23 21:25:17,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 21:25:17,N/A
2025-02-23 3:19:34,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 3:19:34,N/A
2025-02-23 2:47:23,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 2:47:23,N/A
2025-02-23 2:38:08,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 2:38:08,N/A
2025-02-23 2:16:24,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 2:16:24,N/A
2025-02-23 2:29:15,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 2:29:15,N/A
2025-02-22 16:39:38,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-22 16:39:38,N/A
2025-02-23 1:53:37,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 1:53:37,N/A
2025-02-22 16:45:10,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-22 16:45:10,N/A
2025-02-23 2:06:43,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-23 2:06:43,N/A
2025-02-22 17:03:00,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-22 17:03:00,N/A
2025-02-22 16:48:01,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-22 16:48:01,N/A
2025-02-22 2:49:55,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-22 2:49:55,N/A
2025-02-22 16:27:58,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,2025-02-22 16:27:58,N/A
22,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,22,N/A
23,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,23,N/A
temp,📁 Folder,Rewind,Open Folder
❗️ Error reading items here,Error,temp,N/A
chunks,📁 Folder,Rewind,Open Folder
202411,📁 Folder,chunks,Open Folder
12,📁 Folder,202411,Open Folder
25,📁 Folder,202411,Open Folder
23,📁 Folder,202411,Open Folder
13,📁 Folder,202411,Open Folder
